clique number, clique size,pagerank with weight,highesnode, pagerank without weight ,highesnode ,eigen with weight,highesnode, eigen without weight,highesnode,degree,highesnode
72,3,0.000162654579764,741,0.000172510617723,741,0.0,706,4.71371374633e-13,741,10.3333333333,741,
73,3,0.000263430600279,753,0.000283220426345,753,0.0,753,1.40914335821e-11,775,25.6666666667,753,
74,3,0.000238183402117,778,0.000213154217331,778,0.0,774,5.38130718062e-13,790,12.0,790,
75,3,0.000411071485316,777,0.000414330928719,777,0.0,729,1.51567466361e-11,777,40.3333333333,777,
76,3,0.00032113340992,799,0.000309418329284,799,0.0,781,2.50468163313e-12,799,29.0,799,
77,3,0.000349055781053,800,0.000364560923838,800,0.0,751,1.44530069885e-11,800,34.3333333333,800,
78,3,0.000187957826506,805,0.000190537471783,805,0.0,716,5.37467848254e-13,755,10.3333333333,805,
79,3,0.000220580862774,805,0.000217937722443,805,0.0,741,4.73500668038e-13,805,12.6666666667,805,
80,3,0.000181669786612,765,0.000222012743365,765,0.0,765,1.35761721158e-11,775,18.6666666667,765,
81,3,0.000415994040834,802,0.000379580471758,802,0.0,802,1.50324671706e-11,802,37.3333333333,802,
82,3,0.000269551830021,828,0.000311465664527,828,1.80436573543e-16,828,3.99833950364e-11,828,22.3333333333,828,
83,3,0.000329527510951,828,0.000351324445443,828,9.49666176542e-17,828,2.82405933812e-11,828,29.3333333333,828,
84,3,0.000244075859751,828,0.0002633807324,828,1.4086714952e-16,828,3.86561864068e-11,828,16.6666666667,828,
85,3,0.000236285066497,828,0.000263236839072,828,1.63817415453e-16,828,3.90798917437e-11,828,18.3333333333,828,
86,3,0.000213400797868,851,0.000178288027572,851,1.13168552705e-16,851,3.68544704433e-11,851,6.0,851,
87,3,0.000259819504451,854,0.000201828073871,854,1.27413545353e-16,854,3.69457869735e-11,854,7.33333333333,854,
88,3,0.000221532831677,858,0.000185802018116,858,1.51946588247e-16,858,3.75473030515e-11,858,9.66666666667,858,
89,3,0.000151029066893,835,0.000120203259254,835,8.90312040508e-17,835,3.62803226347e-11,835,4.33333333333,835,
90,3,0.00106979865534,100,0.00234017708655,100,5.60817998718e-06,100,0.000579273986235,100,353.0,100,
91,3,0.000169289543528,1062,0.000178150972657,1127,1.09114480566e-06,1127,0.000118507612865,1127,17.6666666667,1127,
92,3,0.000161348271919,1145,0.00017719909856,1145,2.78904776787e-08,1145,1.58952658669e-05,1145,21.3333333333,1145,
93,3,0.000217945089036,1069,0.000106966414528,967,5.67416874107e-09,1069,1.07131030176e-05,967,3.66666666667,967,
94,3,0.000194798370302,1164,0.000108219287913,1164,1.56346714466e-08,1164,1.27162051879e-05,1164,5.0,1164,
95,3,0.00015252241542,1164,0.000120486254087,1164,1.86596269384e-08,1164,1.34456291397e-05,1164,8.0,1229,
96,3,0.00026893542736,1236,0.000264357470137,1236,2.81612986214e-08,1236,1.51974153953e-05,1236,39.0,1236,
97,3,0.000139881867477,1244,0.000156625667814,1244,1.12042047508e-07,1244,2.55834230649e-05,1244,18.0,1244,
98,3,0.000242026968621,1268,0.000195344987585,1268,3.77304398417e-08,1286,1.54985999597e-05,1286,19.6666666667,1268,
99,3,0.000164217177822,1244,0.000203314191893,1330,4.88869708248e-06,1330,0.000141061067999,1330,30.3333333333,1330,
100,3,0.000144868241621,1039,0.000193009593757,1039,3.83100776128e-06,1039,0.000339794382534,1039,44.0,1039,
101,3,0.000133646790509,1402,7.8075692119e-05,1096,1.06610012676e-08,1096,1.28634143875e-05,1096,4.66666666667,1096,
102,3,0.000266439911149,1430,0.000228204400837,1430,4.67442755799e-07,1430,7.90890258025e-05,1430,60.0,1430,
103,3,0.000295269955911,1016,0.000295758056247,1432,3.37161614247e-08,1432,1.89226209208e-05,1432,42.3333333333,1432,
104,3,0.000326542165573,1045,0.000348539956912,1045,4.35144471963e-08,1432,2.30626127185e-05,1432,60.6666666667,1031,
105,3,0.000176062105657,1347,0.000107516543953,1347,3.09313643798e-08,1445,1.38504800916e-05,1347,6.66666666667,1347,
106,3,0.000214108772646,1461,0.000249656165459,1461,3.06621575174e-08,1461,1.62433288295e-05,1461,43.3333333333,1461,
107,3,0.000215184521515,1464,0.000259164444158,1464,5.18516182576e-08,1464,1.98027920548e-05,1464,26.6666666667,1464,
108,3,0.000207157236401,1464,0.000236299650558,1464,2.94482612829e-08,1464,1.58945109332e-05,1464,23.3333333333,1464,
109,3,0.000258026360963,1464,0.000295702370129,1464,1.10236848791e-07,1244,2.57225715573e-05,1244,32.6666666667,1464,
110,3,0.000266387763813,1281,0.000257179131366,1281,5.35406093017e-08,1281,4.76098599529e-05,1281,40.0,1281,
111,3,0.000110568351387,1123,0.000118535196784,1123,1.10140740884e-07,1123,2.26616272507e-05,1123,12.6666666667,1123,
112,3,0.000248139324362,1135,0.000262724263411,1135,3.61895722364e-06,1493,0.000368255991206,1135,52.3333333333,1135,
113,3,0.000279206288415,1135,0.000309794357633,1135,6.48777406897e-06,1133,0.000506499505812,1135,57.3333333333,1135,
114,3,0.000228183288315,1446,0.00027612272145,1446,4.42647180594e-08,1446,3.87461167974e-05,1504,42.6666666667,1446,
115,3,0.000227346683336,1525,0.000198847716005,1525,4.73791948618e-08,1525,1.99099263e-05,1496,22.0,1525,
116,3,0.000174403781927,1442,0.000199293487513,1442,9.73644148436e-07,1442,0.000201640339695,1442,54.0,1442,
117,3,0.000215037446607,1514,0.000211257073242,1514,5.14001594683e-08,1512,2.31193365105e-05,1512,25.6666666667,1512,
118,3,0.000193221157737,1011,9.45830557335e-05,1156,5.19232372017e-09,1156,1.06994797614e-05,1156,3.33333333333,1156,
119,3,0.000221448739259,1573,0.000206509852615,1573,3.62548886916e-08,1471,3.20440085269e-05,1471,30.6666666667,1573,
120,3,0.000435243925486,1578,0.000429848756126,1578,3.71220829302e-06,1578,0.000268243982377,1578,133.333333333,1578,
121,3,0.000280147588237,1514,0.000265447525317,1514,1.38880829012e-07,1519,2.88216293992e-05,1519,31.3333333333,1514,
122,3,0.00022097226377,1446,0.000241436190952,1446,3.55086604545e-08,1446,2.39724133573e-05,1446,37.6666666667,1446,
123,3,0.000208216194918,1471,0.000212208580392,1471,3.6417500441e-08,1471,3.14182198781e-05,1471,30.3333333333,1471,
124,3,0.000269947459418,1464,0.00031815449237,1464,1.30273534329e-06,1623,0.000173689480839,1623,34.6666666667,1464,
125,3,0.000371484775653,1535,0.000380179028402,1535,0.006364616248,1535,0.0253403745041,1535,79.6666666667,1535,
126,3,0.000150401050154,1624,0.000149136979928,1624,1.52173456397e-08,1624,1.18570077525e-05,1624,15.6666666667,1624,
127,3,0.000120654300152,1624,0.000134063601338,1624,1.39057644025e-08,1624,1.17944008121e-05,1624,14.0,1624,
128,3,0.000316216836587,1431,0.000300005850384,1431,2.5994246178e-08,1431,1.48558998904e-05,1431,41.0,1431,
129,3,0.00024498799171,1428,0.000234164769593,1428,2.14544997124e-08,1428,1.3705766051e-05,1428,29.0,1428,
130,3,0.000204971285617,955,0.000216718781837,955,1.03504458746e-07,1379,3.08109745144e-05,1631,26.0,955,
131,3,0.00016782974376,1599,0.000186604061975,1599,6.07703646449e-08,1631,2.59465635156e-05,1631,20.0,1599,
132,3,0.000280536822585,1532,0.000307138430169,1532,6.03289702001e-08,1532,6.19794250993e-05,1532,45.6666666667,1532,
133,3,0.000275608554817,1602,0.000253566255823,1602,3.20713449251e-08,1602,2.12339868077e-05,1602,39.6666666667,1602,
134,3,0.000192268039541,1645,0.000260178430753,1645,2.60096429972e-07,1645,7.8771971443e-05,1645,59.6666666667,1645,
135,3,0.000406387534291,1495,0.000425893755443,1495,7.59766437162e-08,1532,7.85602680948e-05,1532,66.3333333333,1495,
136,3,0.00012700688089,1366,0.00013628897766,1366,1.84433969366e-08,1366,1.27480161521e-05,1366,20.0,1366,
137,3,0.000237521108548,1675,0.000281497498782,1675,0.00286655199073,1675,0.015993191406,1675,65.3333333333,1675,
138,3,0.000335542958497,1535,0.000399790724253,1535,0.00922863814285,1535,0.041061360483,1535,116.333333333,1535,
139,3,0.000342375980837,1666,0.000337034102622,1666,3.04583083171e-08,1666,1.57448239073e-05,1666,46.0,1666,
140,3,0.000407366148226,1687,0.000418770483731,1687,1.20174750018e-06,1687,0.000166604361998,1687,129.333333333,1687,
141,3,0.000237382081443,1464,0.000305424346182,1464,4.73377314346e-08,1464,2.1116579386e-05,1464,32.6666666667,1464,
142,3,0.000229784387402,1464,0.000289664356109,1464,5.0488273923e-08,1464,2.09521953884e-05,1464,31.3333333333,1464,
143,3,0.000450439180059,1687,0.00045730168675,1687,1.27760910957e-06,1687,0.000184988250337,1687,146.333333333,1687,
144,3,0.000186733332275,1727,0.000189488748198,1727,1.91778668325e-08,1727,1.36814326824e-05,1727,24.0,1727,
145,3,0.000298203395105,1740,0.000353707645981,1740,3.45450771639e-08,1740,1.71653148781e-05,1740,59.0,1740,
146,3,0.000335763779935,1740,0.000404807874974,1740,4.03327305276e-08,1740,1.90281606195e-05,1740,74.0,1740,
147,3,0.000128207885816,1742,0.000144304050484,1742,1.3884956464e-08,1742,1.19052944707e-05,1742,14.6666666667,1742,
148,3,0.000302667771875,1662,0.000229159246337,1662,2.82587081888e-08,1676,1.48488112548e-05,1676,23.6666666667,1662,
149,3,0.000186329410801,1763,0.000171304859807,1763,3.94095475445e-08,1763,1.67714809288e-05,1763,17.0,1763,
150,3,0.000314331103273,1525,0.000252032221322,1525,6.2254739797e-08,1763,2.20293776853e-05,1763,28.0,1525,
151,3,0.000294967019243,1587,0.000288851227901,1587,5.49141389572e-08,1764,2.33106560155e-05,1587,45.6666666667,1587,
152,3,0.000373495987183,1660,0.000357155363162,1660,4.90136095649e-08,1764,2.13339487007e-05,1764,54.3333333333,1660,
153,3,0.000340929796786,1740,0.000388443962421,1740,4.84008034949e-08,1764,2.0742057533e-05,1764,66.0,1740,
154,3,0.000227422668881,1674,0.000258460648322,1674,5.90959100107e-07,1674,0.000101683379031,1674,73.3333333333,1674,
155,3,0.000382162265577,1757,0.000402745376499,1757,1.03765397772e-06,1757,0.000160626952418,1757,130.0,1757,
156,3,0.000414609959755,1784,0.000409548475176,1784,1.0696413687e-06,1784,0.000165212679925,1784,134.333333333,1784,
157,3,0.000339206220877,1740,0.000403618131856,1740,3.99573660302e-08,1740,1.84091563903e-05,1740,69.0,1740,
158,3,0.000225946945446,1788,0.000216782640644,1788,2.15091715779e-08,1788,1.50768731638e-05,1413,26.3333333333,1788,
159,3,0.000193302689874,1675,0.000256863754466,1675,0.00286865161649,1675,0.0160022719916,1675,68.3333333333,1675,
160,3,0.000276082821783,1793,0.000283318350298,1793,3.07458493152e-08,1715,1.63406984921e-05,1715,34.3333333333,1744,
161,3,0.000269069294018,1660,0.00023849569713,1660,2.13470404696e-08,1660,1.41133996323e-05,1660,29.3333333333,1660,
162,3,0.000238695215302,1760,0.000216251144483,1760,2.72467131134e-08,1676,1.48652641723e-05,1676,23.3333333333,1803,
163,3,0.000303291842242,1618,0.00031049272248,1618,4.29324325105e-08,1618,1.82533765234e-05,1618,62.3333333333,1618,
164,3,0.000297183856753,1813,0.000283632143165,1813,4.20050082185e-08,1813,1.69425473441e-05,1813,57.6666666667,1813,
165,3,0.000229776132365,1822,0.000220765228403,1822,7.59573296396e-06,1042,0.000410088925693,1042,24.0,1822,
166,3,0.000261489784943,1822,0.00022337529144,1822,4.59768387084e-08,1822,1.8631897261e-05,1822,23.3333333333,1822,
167,3,0.000281352768163,1822,0.000248344598132,1822,3.87726420903e-08,1822,1.70753247354e-05,1822,27.3333333333,1822,
168,3,0.000249439489495,1832,0.000260463414072,1832,2.82269963661e-08,1832,1.63231837359e-05,1832,38.0,1832,
169,3,0.000452377945211,1844,0.000444019312954,1844,1.18622061713e-06,1844,0.000182295562783,1844,148.666666667,1844,
170,3,0.000480199415698,1844,0.000466995420882,1844,4.35683065457e-06,1819,0.000289735063296,1819,151.0,1844,
171,3,0.000445461975056,1844,0.000443880993627,1844,1.20751753821e-06,1844,0.000181491423492,1844,147.0,1844,
172,3,0.000215800582826,1458,0.000158385293978,1845,1.11944237554e-08,1845,1.12045047337e-05,1845,10.0,1845,
173,3,0.000202701703917,1846,0.000108805504643,1846,5.93743177775e-09,1846,1.07699527777e-05,1846,4.0,1846,
174,3,0.000420813335166,1844,0.000438969180324,1844,1.17992618604e-06,1844,0.000178302658631,1844,141.333333333,1844,
175,3,0.000343313585819,1686,0.000356344338426,1849,4.51412655592e-08,1849,1.90392773109e-05,1849,70.6666666667,1849,
176,3,0.000310806059186,1849,0.000313999717176,1849,4.14453326948e-08,1849,1.76395033263e-05,1849,61.6666666667,1849,
177,3,0.000307396332329,1858,0.000354244931023,1858,8.10876783365e-07,1858,0.000149691281558,1858,112.666666667,1858,
178,3,0.000237439576144,1818,0.000245038800069,1818,3.64437691159e-08,1818,1.58805671955e-05,1818,48.0,1818,
179,3,0.000270694675449,1855,0.000265497753947,1855,3.94102501772e-08,1855,1.67078570323e-05,1855,53.3333333333,1855,
180,3,0.000255445695596,1855,0.000253464770617,1855,3.74599935201e-08,1855,1.6317038407e-05,1855,50.3333333333,1855,
181,3,0.000286398762281,1740,0.000324452059674,1740,3.12755159987e-08,1740,1.63296853034e-05,1740,52.3333333333,1740,
182,3,0.00015896124857,1599,0.000164686976204,1599,3.31890315592e-08,1599,1.73498559487e-05,1599,16.3333333333,1599,
183,3,0.000212471828206,1866,0.000214306434102,1304,3.20741355809e-08,1304,1.63028553524e-05,1304,26.3333333333,1304,
184,3,0.000239962789503,1788,0.000239613189913,1788,2.28589597768e-08,1788,1.50517655287e-05,1788,29.0,1788,
185,3,0.000266009537238,1770,0.000286410507069,1770,3.80315566148e-06,1867,0.000201279657476,1867,72.3333333333,1770,
186,3,0.000227072835771,1867,0.000226373809637,1867,6.66183982783e-06,1867,0.000257617152618,1819,39.0,1819,
187,3,0.000287130072777,2081,0.000267390611698,2081,0.000864926833724,2081,0.0079884581283,2081,29.3333333333,2081,
188,3,0.000225078953391,2190,0.000221276676164,2190,0.000965294811364,2100,0.00904122326069,2100,29.6666666667,2100,
189,3,0.000199739392171,2115,0.000202534487876,2111,0.000692088056934,2111,0.00708956464759,2111,20.0,2111,
190,3,0.000153613087254,2115,0.000159857410929,2115,0.000593831227441,2115,0.00687603248964,2115,15.3333333333,2115,
191,3,0.000473551594327,2236,0.000490371488172,2236,0.0112716559478,2236,0.0478448998132,2236,119.0,2236,
192,3,0.000116050830238,2244,0.000101603414325,2244,0.000629798639037,2244,0.00908678496341,2244,11.6666666667,2244,
193,3,0.000189259157674,1974,0.000192116388784,1974,0.00107705520643,1974,0.00838976687264,1974,34.0,1974,
194,3,0.00016282809179,1997,0.000127603168672,1997,0.000377492407127,1997,0.00648836231317,1997,7.33333333333,1997,
195,3,0.00017862456847,1990,0.000133799647356,1990,0.000389288202346,1997,0.00649470960274,1997,7.66666666667,1990,
196,3,0.000225712678746,2128,0.000219049085814,2128,0.000796117291605,2128,0.0074811185862,2128,23.6666666667,2128,
197,3,0.000106607021705,2310,0.000102066440113,2310,0.000357271549336,2310,0.00644896563982,2310,7.33333333333,2310,
198,3,0.000126178765436,2107,0.00014027485042,2107,0.000496392576117,2107,0.00667225637739,2107,12.0,2107,
199,3,0.000234343846837,2236,0.000224042906728,2236,0.00646435708051,2236,0.029248878687,2236,57.3333333333,2236,
200,3,0.000232469445834,2314,0.000221512945761,2314,0.000805583008624,2314,0.00778143123995,2314,25.0,2314,
201,3,0.000139996360903,1892,0.000138712443984,1892,0.000552612866965,1892,0.00694749002075,1892,13.3333333333,1892,
202,3,0.000262344617096,2182,0.000251555308164,2350,0.000902517975941,2350,0.0079896903997,2182,29.0,2350,
203,3,0.000182807929556,2101,0.000199868234298,2101,0.000724539904269,2101,0.00710325803998,2101,20.6666666667,2101,
204,3,0.000165464238516,2359,0.000146250348557,2359,0.000931359748011,2359,0.0105242657047,2244,21.3333333333,2359,
205,3,0.000174052157586,2365,0.000175916953574,2365,0.00063256309337,2365,0.00706739909919,2365,17.6666666667,2365,
206,3,0.000244766786273,2365,0.000234767929798,2365,0.000806831925103,2364,0.00747410629003,2364,25.0,2364,
207,3,0.000202855683117,2374,0.000121109403181,2374,0.000276195260811,2374,0.00631465621184,2374,5.0,2374,
208,3,0.000188556223844,2381,0.000213368702324,2381,0.3588239976,2381,0.395425896679,2381,95.6666666667,2381,
209,3,0.000236896962806,2374,0.000130539625868,2374,0.000311358387078,2374,0.00634120436321,2374,5.66666666667,2374,
210,3,0.000106222903188,2196,0.000117647505088,2196,0.00102560521211,2196,0.0132018351065,2196,19.3333333333,2196,
211,3,0.000148376773137,2168,0.000133614209677,2168,0.000726761956674,2168,0.00988834003961,2168,16.0,2168,
212,3,0.000295770169278,2314,0.000258897407258,2314,0.000890185062277,2314,0.00789073678215,2314,29.0,2314,
213,3,0.000242455902654,2413,0.000249930942727,2413,0.00589107518446,2413,0.0305441811412,2413,71.0,2413,
214,3,0.000262340947158,2350,0.000228282859602,2350,0.000864424617174,2350,0.00778382271468,2350,25.6666666667,2350,
215,3,0.000199416858154,2509,0.000152172781794,2509,0.000428467533146,2509,0.0066481674114,2509,10.3333333333,2509,
216,3,0.000135912701389,2136,0.000154510922406,2136,0.000587748448223,2136,0.00684157040518,2136,14.6666666667,2136,
217,3,0.00018551932898,2350,0.000197209717734,2350,0.000712931485719,2350,0.00728522813982,2350,20.6666666667,2350,
218,3,0.00014794425354,1973,9.6482141002e-05,1973,0.000284514905705,1973,0.00639046862843,1973,5.0,1973,
219,3,0.000275859572543,2511,0.000288186667808,2511,0.311111706541,2511,0.321812109308,2511,115.333333333,2511,
220,3,0.000234587212398,2532,0.000243010452149,2532,0.00668597974017,2532,0.0337885408877,2532,71.6666666667,2532,
221,3,0.000111776009407,2429,0.000152974800352,2429,0.0737015140202,2429,0.13654932685,2429,43.6666666667,2429,
222,3,0.000225484722749,2537,0.000200450335397,2520,0.000724059485762,2520,0.00706225560992,2527,20.0,2520,
223,3,0.000202133690957,2542,0.000220331476807,2542,0.00852157203453,2542,0.0421942585825,2542,63.3333333333,2542,
224,3,0.000238640755148,2420,0.00029589490164,2420,0.194261005065,2420,0.24160398631,2420,102.333333333,2420,
225,3,0.000191628996007,2434,9.02838295854e-05,2478,0.00020624202818,2478,0.00633583399694,2478,3.33333333333,2478,
226,3,0.000308645612252,2506,0.000310359182446,2506,0.0137584738001,2506,0.0584868228449,2506,98.0,2506,
227,3,0.000167359411621,2559,0.000181103933979,2559,0.00140915031018,2559,0.013613835174,2482,35.0,2559,
228,3,0.00021054789485,2559,0.000223954410995,2559,0.00209916022386,2552,0.0161324941797,2552,50.0,2552,
229,3,0.000263845988254,2560,0.000286821607276,2560,0.573983346998,2560,0.56589899857,2560,137.0,2560,
230,3,0.000161302683284,2517,0.000158543424007,2517,0.000936399577949,2561,0.00892321588466,2561,23.6666666667,2561,
231,3,0.000194298105664,2559,0.000191612388541,2559,0.00126542526283,2559,0.0111312798072,2559,35.0,2559,
232,3,0.000311003954152,2266,0.000353379297738,2266,0.00103524401604,2266,0.0120898775762,2266,39.0,2266,
233,3,0.000267840870211,2509,0.000229465421072,2509,0.00073169071123,2567,0.00735414844981,2567,20.6666666667,2567,
234,3,0.000239688548929,2509,0.000170599671439,2509,0.000486547615616,2509,0.00670163053463,2509,11.6666666667,2509,
235,3,0.00023612745613,2489,0.000233999647587,2489,0.00130847478509,2489,0.00885603278483,2489,43.0,2489,
236,3,0.000221884095605,2591,0.000260730071196,2591,0.00583465247458,2591,0.0375223143758,2591,67.3333333333,2591,
